lambda,type_correct,accuracy,precision,recall,F1
1.0,0.661,0.6659,0.1965,0.9474,0.3255
0.1,0.7923,0.7967,0.272,0.8292,0.4097
0.01,0.8041,0.8137,0.2961,0.8642,0.4411
0.001,0.8219,0.818,0.2998,0.8526,0.4436
0.0001,0.8205,0.8184,0.3005,0.854,0.4445
1e-05,0.8188,0.8184,0.3005,0.854,0.4445
1e-06,0.8219,0.8182,0.2999,0.8526,0.4438
1e-07,0.8219,0.8182,0.2999,0.8526,0.4438
1e-08,0.8219,0.8182,0.2999,0.8526,0.4438
1e-09,0.8219,0.8182,0.2999,0.8526,0.4438
